Registro no CAR;Houve Retificação?;Aderiu ao PRA?;Bioma;% do Bioma;Défice Reserva Legal;Cidade;Estado;Latitude;Longitude;Data de Registro;Data da Última Retificação;Data de Análise;Status do Imóvel;Tipo de Imóvel;Situação;Condição;Condição PRA;Área;Módulo Fiscal;Área total de remanescentes de vegetação nativa;Área total de uso consolidado;Área total de servidão administrativa;Situação RL;Área de reserva legal averbada vetorizada;Área de reserva legal aprovada não averbada vetorizada;Área de reserva legal proposta vetorizada;Total de reserva legal declarada pelo proprietário/possuidor;Áreas de preservação permanente;Área de uso restrito
MT-5101902-C8B5237B46614F0198BAF8C93E7B853A;Sim;Sim;Amazônia;80;272,36172;Brasnorte;MT;"12°12'47,52"" S";"58°07'08,88"" O";20/10/2014;23/06/2019;--;Ativo;IRU;AT;Aguardando análise;--;2075,8569;20,76;1443,0525;632,8044;0;Não Analisada;0;1388,3238;0;1388,3238;0;0
MT-5101902-AE7DD7F4B3D545F0B86C3D72A420324A;Sim;Sim;Amazônia;80;-36,14261255;Brasnorte;MT;"12°37'31,85"" S";"57°42'25,2"" O";02/11/2015;13/01/2016;--;Ativo;IRU;AT;Aguardando análise;--;1250,772;12,5077;1233,804643;11,07546368;0;Não Analisada;0;0;1001,1661;1001,1661;35,59411255;0
MT-5101902-EFA89315F4DF4479BD46EE6C762ECF63;Nâo;Sim;Amazônia;80;49,02039893;Brasnorte;MT;"12°43'34,67"" S";"58°19'29,63"" O";13/01/2016;13/01/2016;--;Ativo;IRU;AT;Aguardando análise;--;400,9949;4,0099;0;134,2240283;0;Não Analisada;0;0;255,5503;255,5503;16,22522107;0
MT-5101902-94917357C5E243ACA8A1EC5DF8B224F1;Nâo;Sim;Amazônia;80;1032,433019;Brasnorte;MT;"12°27'38,24"" S";"58°03'22,6"" O";13/01/2016;13/01/2016;--;Ativo;IRU;AT;Aguardando análise;--;1850,5006;18,505;422,891033;1423,400525;0;Não Analisada;0;0;422,891;422,891;25,0764614;0
MT-5101902-71019E32C6D045119FFAC45E29EC1EDE;Nâo;Sim;Amazônia;80;2290,741076;Brasnorte;MT;"12°29'05,3"" S";"57°55'31,79"" O";14/01/2016;14/01/2016;--;Ativo;IRU;AT;Aguardando análise;--;6951,6398;69,5164;3096,680626;578,9034593;0;Não Analisada;3023,6794;0;0;3023,6794;246,8913639;0
MT-5101902-F27BFE0D583949D6A003C790AE96856E;Sim;Nâo;Amazônia;80;1324,416019;Brasnorte;MT;"12°41'28,25"" S";"57°53'14,38"" O";23/06/2016;14/07/2016;--;Ativo;IRU;AT;Aguardando análise;--;3025,0084;30,2501;1858,302269;1059,373358;0;Não Analisada;0;0;1095,1409;1095,1409;0,44980062;0
MT-5101902-09DC9EB2C351447C944F07E332C84383;Nâo;Sim;Amazônia;80;379,02778;Brasnorte;MT;"12°37'59,07"" S";"57°48'31,11"" O";31/10/2018;31/10/2018;--;Ativo;IRU;AT;Aguardando análise;--;599,7521;6;100,7739;498,9782;0;Não Analisada;0;100,7739;0;100,7739;0;0
MT-5101902-D109119A15FE485299BED29E5E6E66E9;Sim;Sim;Amazônia;80;692,05442;Brasnorte;MT;"12°17'28,31"" S";"58°16'32,98"" O";03/06/2016;15/06/2019;--;Ativo;IRU;AT;Aguardando análise;--;2770,7169;27,71;1434,0746;1333,212;0;Não Analisada;0;1434,0747;0;1434,0747;90,4444;0
MT-5101902-97E22830BE934CD3A03DCE5814460078;Nâo;Nâo;Amazônia;80;470,07936;Brasnorte;MT;"12°28'37,82"" S";"58°22'06,78"" O";05/01/2021;05/01/2021;--;Ativo;IRU;AT;Aguardando análise;--;1142,8447;11,43;1142,6079;0;0;Não Analisada;0;429,817;0;429,817;14,3794;0
MT-5101902-6680F2A4126641E991C405634BF454CE;Nâo;Nâo;Amazônia;80;396,69562;Brasnorte;MT;"12°32'16,99"" S";"58°11'00,3"" O";05/01/2021;05/01/2021;--;Ativo;IRU;AT;Aguardando análise;--;1476,0754;14,76;739,6168;733,3302;0;Não Analisada;0;739,6168;0;739,6168;44,5479;0
MT-5101902-D464721CC67A4415AF2160AE9E29F205;Sim;Sim;Amazônia;80;327,30058;Brasnorte;MT;"11°47'25,03"" S";"58°10'34,22"" O";03/05/2015;10/02/2021;10/02/2021;Ativo;IRU;AT;Analisado, aguardando regularização ambiental (Lei 12.651/12);--;1172,9616;11,73;584,4534;576,5346;0;Não Analisada;0;584,4534;0;584,4534;26,6153;0
MT-5101902-98359C2147C24E3A9FABD940F1333C51;Sim;Sim;Amazônia;80;845,8795092;Brasnorte;MT;"12°23'46,34"" S";"58°20'57,11"" O";20/10/2014;12/02/2016;29/07/2016;Pendente;IRU;PE;Analisado com pendências, aguardando retificação;--;2034,283;20,3428;1538,964261;482,5376286;0;Não Analisada;0;0;711,9989;711,9989;69,54799084;0
MT-5101902-1C98756F713B4918BF4A9A5817257B2B;Nâo;Sim;Amazônia;80;4656,155624;Brasnorte;MT;"12°23'35,9"" S";"57°36'08,74"" O";14/07/2016;14/07/2016;--;Ativo;IRU;AT;Aguardando análise;--;10745,1712;107,4517;5608,943913;1348,61445;0;Não Analisada;0;0;3748,4982;3748,4982;191,483136;0
MT-5101902-446C2F0505D843178A83EDE7757479C3;Sim;Sim;Amazônia;80;2530,82522;Brasnorte;MT;"11°51'05,96"" S";"58°12'59,49"" O";20/10/2014;16/07/2020;--;Ativo;IRU;AT;Aguardando análise;--;3481,2599;34,81;136,8787;3321,9559;0;Não Analisada;136,8787;0;0;136,8787;117,304;0
MT-5101902-0CF39F1CEE644EF3BCC6F53EA06DF72D;Sim;Sim;Amazônia;80;713,69978;Brasnorte;MT;"12°50'28,32"" S";"58°20'21,08"" O";10/01/2020;19/08/2020;--;Ativo;IRU;AT;Aguardando análise;--;1011,3801;10,11;758,5831;252,8049;0;Não Analisada;0;95,4043;0;95,4043;0;0
MT-5101902-C103104102CB4E3690716C0D5595AE6C;Nâo;Sim;Amazônia;80;-39,14313719;Brasnorte;MT;"13°03'44,61"" S";"57°38'18,31"" O";03/04/2015;03/04/2015;15/03/2016;Pendente;IRU;PE;Analisado com pendências, aguardando retificação;--;2316,5703;23,1657;0;487,1240185;0;Não Analisada;0;0;1816,8473;1816,8473;75,55207719;0
MT-5101902-56337F4E5003412787BE2DDF3AB6FFD4;Nâo;Sim;Amazônia;80;204,18522;Brasnorte;MT;"12°07'37,39"" S";"57°53'52,97"" O";01/03/2016;01/03/2016;--;Ativo;IRU;AT;Aguardando análise;--;402,0359;4,0204;117,4435398;281,8457307;0;Não Analisada;0;0;117,4435;117,4435;0;0
MT-5101902-248C52BAE2A149619B859CF99DD4B819;Nâo;Nâo;Amazônia;80;200,698982;Brasnorte;MT;"13°03'37,78"" S";"57°38'50,67"" O";01/05/2015;01/05/2015;01/03/2016;Pendente;IRU;PE;Analisado com pendências, aguardando retificação;--;2495,0547;24,9505;1759,726921;729,1968704;0;Não Analisada;0;0;1759,7269;1759,7269;35,61787798;0
MT-5101902-B7CF852923544647B84A5EABADB56218;Nâo;Sim;Amazônia;80;-37,65260316;Brasnorte;MT;"13°01'33,41"" S";"57°35'00,46"" O";01/05/2015;01/05/2015;01/03/2016;Pendente;IRU;PE;Analisado com pendências, aguardando retificação;--;1032,2277;10,3223;1024,859864;0;0;Não Analisada;0;0;819,4875;819,4875;43,94726316;0
