Identificação,Área (ha)
Área Total da Propriedade – ATP,"5.262,3855"
Área do Imóvel Rural – AIR,"5.262,3855"
Área de Vegetação Nativa – AVN,"4.569,3476"
Área de Reserva Legal – ARL,"4.569,3476"
Área de Preservação Permamente – APP,"299,8799"
Área de Uso Consolidado,"667,7553"
Área de Uso Restrito – AUR,"0,0000"
Área de Uso Antropizado do Solo – AUAS,"0,0000"
Área de Altitude 1800,"0,0000"
Área de Declividade,"0,0000"
Área Pantaneira,"0,0000"
Área Topo de Morro,"0,0000"
Área de Borda de Chapada,"0,0000"
Área de Interesse Social,"0,0000"
Área de Utilidade Pública,"0,0000"
Área de Vereda,"0,0000"
Área de Restinga,"0,0000"
Massa d’água,"25,7759"
